doc_id,item,category,amount,price,discount,shop_num,cash_num
20250603005832-7163,кастрюля,посуда,9,63.55,26.68,3,1
20250603005832-8777,сковорода,посуда,7,91.81,20.55,3,1
20250603005832-4330,гель для стирки,бытовая химия,2,83.35,48.3,3,1
20250603005832-6051,порошок,бытовая химия,2,65.95,4.91,3,1
20250603005832-9397,средство для мытья посуды,бытовая химия,3,43.22,26.22,3,1
20250603005832-4355,кастрюля,посуда,4,68.16,4.8,3,1
20250603005832-7212,наволочки,текстиль,1,90.27,3.24,3,1
20250603005832-6870,полотенца,текстиль,4,39.3,12.43,3,1
20250603005832-7251,тарелки,посуда,7,60.69,22.92,3,1
20250603005832-9012,кастрюля,посуда,6,61.79,58.77,3,1
20250603005832-8703,полотенца,текстиль,1,82.13,4.39,3,1
20250603005832-4197,наволочки,текстиль,8,46.39,22.33,3,1
20250603005832-4092,наволочки,текстиль,4,15.08,11.91,3,1
20250603005832-9178,сковорода,посуда,2,37.18,27.46,3,1
20250603005832-5044,порошок,бытовая химия,3,92.08,47.79,3,1
20250603005832-2476,порошок,бытовая химия,3,25.78,14.0,3,1
20250603005832-9643,простыни,текстиль,8,71.56,56.56,3,1
20250603005832-1275,сковорода,посуда,1,63.11,35.2,3,1
20250603005832-9218,наволочки,текстиль,10,97.58,84.13,3,1
20250603005832-2097,порошок,бытовая химия,4,50.16,19.77,3,1
20250603005832-2938,тарелки,посуда,6,76.58,67.65,3,1
20250603005832-2131,тарелки,посуда,8,85.55,71.48,3,1
20250603005832-4871,сковорода,посуда,6,74.2,4.58,3,1
20250603005832-2816,средство для мытья посуды,бытовая химия,2,42.4,23.48,3,1
20250603005832-6316,кастрюля,посуда,3,79.42,42.61,3,1
20250603005832-3371,полотенца,текстиль,2,32.93,14.37,3,1
20250603005832-1783,наволочки,текстиль,1,56.56,24.27,3,1
20250603005832-7497,простыни,текстиль,1,82.57,50.29,3,1
20250603005832-6531,тарелки,посуда,1,72.84,39.43,3,1
20250603005832-6290,сковорода,посуда,5,39.49,3.25,3,1
20250603005832-2440,наволочки,текстиль,9,58.07,26.8,3,1
20250603005832-6783,простыни,текстиль,4,51.31,36.53,3,1
20250603005832-4630,простыни,текстиль,10,47.51,42.26,3,1
20250603005832-5093,средство для мытья посуды,бытовая химия,5,23.2,3.21,3,1
20250603005832-2129,кастрюля,посуда,5,73.16,46.11,3,1
20250603005832-6792,простыни,текстиль,7,86.6,51.06,3,1
20250603005832-1047,гель для стирки,бытовая химия,1,40.69,19.16,3,1
20250603005832-4831,порошок,бытовая химия,7,12.15,11.93,3,1
20250603005832-1874,кастрюля,посуда,10,92.04,87.65,3,1
20250603005832-9153,наволочки,текстиль,5,34.88,27.45,3,1
20250603005832-5492,наволочки,текстиль,7,75.75,24.55,3,1
20250603005832-8336,полотенца,текстиль,8,66.16,22.15,3,1
20250603005832-1783,тарелки,посуда,1,70.06,51.28,3,1
20250603005832-5982,гель для стирки,бытовая химия,10,19.41,4.24,3,1
20250603005832-1969,кастрюля,посуда,3,59.07,7.11,3,1
20250603005832-6045,сковорода,посуда,6,45.37,40.61,3,1
20250603005832-8054,полотенца,текстиль,4,50.97,30.87,3,1
20250603005832-8503,сковорода,посуда,6,51.62,11.28,3,1
20250603005832-1167,сковорода,посуда,7,23.8,9.83,3,1
20250603005832-7916,полотенца,текстиль,2,80.49,78.16,3,1
20250603005832-5068,тарелки,посуда,8,87.17,81.69,3,1
20250603005832-4896,кастрюля,посуда,1,40.92,10.94,3,1
20250603005832-5183,наволочки,текстиль,7,77.91,33.7,3,1
20250603005832-8694,наволочки,текстиль,10,10.18,5.87,3,1
20250603005832-8435,гель для стирки,бытовая химия,8,98.49,18.08,3,1
20250603005832-3302,наволочки,текстиль,8,34.93,34.39,3,1
20250603005832-7369,простыни,текстиль,2,61.11,56.15,3,1
20250603005832-2641,полотенца,текстиль,4,13.77,8.59,3,1
20250603005832-2234,сковорода,посуда,10,51.84,47.88,3,1
20250603005832-6156,тарелки,посуда,6,77.22,12.2,3,1
20250603005832-2043,сковорода,посуда,6,35.54,30.21,3,1
20250603005832-6649,простыни,текстиль,9,49.97,33.95,3,1
20250603005832-6420,сковорода,посуда,2,98.12,68.27,3,1
20250603005832-4724,наволочки,текстиль,8,80.5,49.18,3,1
20250603005832-4832,полотенца,текстиль,9,98.52,15.04,3,1
20250603005832-7376,кастрюля,посуда,4,31.36,31.05,3,1
20250603005832-6967,полотенца,текстиль,1,52.76,32.07,3,1
20250603005832-5428,тарелки,посуда,10,59.01,21.07,3,1
20250603005832-3913,наволочки,текстиль,7,91.86,67.5,3,1
20250603005832-3458,средство для мытья посуды,бытовая химия,2,91.72,8.55,3,1
20250603005832-5819,гель для стирки,бытовая химия,7,94.69,56.24,3,1
20250603005832-7779,гель для стирки,бытовая химия,8,58.41,1.63,3,1
20250603005832-6921,сковорода,посуда,9,23.54,11.05,3,1
20250603005832-6652,средство для мытья посуды,бытовая химия,2,96.96,84.11,3,1
20250603005832-2575,простыни,текстиль,4,23.74,0.16,3,1
20250603005832-7390,гель для стирки,бытовая химия,3,98.91,49.09,3,1
20250603005832-3922,гель для стирки,бытовая химия,1,60.32,47.96,3,1
20250603005832-2586,простыни,текстиль,5,49.33,13.96,3,1
20250603005832-9200,сковорода,посуда,7,14.92,4.66,3,1
20250603005832-1978,кастрюля,посуда,6,52.11,35.19,3,1
